告警ID,告警级别,告警名称,告警对象,对象类型,产生时间,清除时间,清除类型
15.1000204,紧急,主机网口状态异常,CNA05,主机,2018/04/28 17:55:23 GMT+08:00,2018/04/28 18:25:24 GMT+08:00,正常清除
15.1000204,紧急,主机网口状态异常,CNA06,主机,2018/04/28 17:54:55 GMT+08:00,2018/04/28 18:25:26 GMT+08:00,正常清除
15.1000204,紧急,主机网口状态异常,CNA08,主机,2018/04/28 17:53:25 GMT+08:00,2018/04/28 18:24:56 GMT+08:00,正常清除
15.1000204,紧急,主机网口状态异常,CNA09,主机,2018/04/28 17:50:07 GMT+08:00,2018/04/28 18:13:08 GMT+08:00,正常清除
15.1002006,紧急,主机与NTP服务器心跳状态异常,CNA09,主机,2018/04/28 10:42:03 GMT+08:00,2018/04/28 17:56:02 GMT+08:00,正常清除
15.1002006,紧急,主机与NTP服务器心跳状态异常,CNA03,主机,2018/04/28 10:42:02 GMT+08:00,2018/04/28 18:32:02 GMT+08:00,正常清除
15.1002006,紧急,主机与NTP服务器心跳状态异常,CNA06,主机,2018/04/28 10:42:02 GMT+08:00,2018/04/28 18:04:02 GMT+08:00,正常清除
15.1002006,紧急,主机与NTP服务器心跳状态异常,CNA08,主机,2018/04/28 10:42:02 GMT+08:00,2018/04/28 17:58:02 GMT+08:00,正常清除
15.1002006,紧急,主机与NTP服务器心跳状态异常,CNA05,主机,2018/04/28 10:42:02 GMT+08:00,2018/04/28 18:00:02 GMT+08:00,正常清除
15.1002006,紧急,主机与NTP服务器心跳状态异常,CNA001,主机,2018/04/28 10:42:02 GMT+08:00,2018/04/28 18:18:02 GMT+08:00,正常清除
15.1002006,紧急,主机与NTP服务器心跳状态异常,CNA04,主机,2018/04/28 10:42:02 GMT+08:00,2018/04/28 18:00:02 GMT+08:00,正常清除
15.1007009,紧急,VRM与NTP服务器心跳状态异常,VRM01,VRM节点,2018/04/28 10:42:02 GMT+08:00,2018/04/28 18:10:02 GMT+08:00,正常清除
15.1004009,紧急,虚拟机HA时，资源不足导致启动失败,superFM01,虚拟机,2018/04/28 10:25:31 GMT+08:00,2018/04/28 18:06:11 GMT+08:00,正常清除
15.1004009,紧急,虚拟机HA时，资源不足导致启动失败,VRM01,虚拟机,2018/04/28 10:25:30 GMT+08:00,2018/04/28 18:06:12 GMT+08:00,正常清除
10.1000027,紧急,主机与VRM心跳异常,CNA06,主机,2018/04/28 10:16:47 GMT+08:00,2018/04/28 17:54:33 GMT+08:00,正常清除
10.1000027,紧急,主机与VRM心跳异常,CNA001,主机,2018/04/28 10:16:47 GMT+08:00,2018/04/28 18:06:10 GMT+08:00,正常清除
10.1000027,紧急,主机与VRM心跳异常,CNA05,主机,2018/04/28 10:16:47 GMT+08:00,2018/04/28 17:54:57 GMT+08:00,正常清除
10.1000027,紧急,主机与VRM心跳异常,CNA04,主机,2018/04/28 10:16:46 GMT+08:00,2018/04/28 17:55:03 GMT+08:00,正常清除
10.1000027,紧急,主机与VRM心跳异常,CNA03,主机,2018/04/28 10:16:46 GMT+08:00,2018/04/28 18:26:44 GMT+08:00,正常清除
10.1000027,紧急,主机与VRM心跳异常,CNA09,主机,2018/04/28 10:16:46 GMT+08:00,2018/04/28 17:50:05 GMT+08:00,正常清除
10.1000027,紧急,主机与VRM心跳异常,CNA08,主机,2018/04/28 10:16:46 GMT+08:00,2018/04/28 17:53:02 GMT+08:00,正常清除
15.1007027,紧急,VRM主备节点数据库同步异常,VRM02,VRM节点,2018/04/28 10:16:22 GMT+08:00,2018/04/28 18:06:17 GMT+08:00,正常清除
15.1002000,紧急,VRM主备间节点心跳故障,VRM02,VRM节点,2018/04/28 10:14:34 GMT+08:00,2018/04/28 18:06:09 GMT+08:00,正常清除
15.1000101,重要,虚拟机CPU占用率超过阈值,superFM02,虚拟机,2018/04/27 18:38:00 GMT+08:00,2018/04/27 18:39:00 GMT+08:00,正常清除
